Datetime,Real,Predicted,Signal
2022-01-09 01:45:00+00:00,3105.89,3119.2158,100
2022-01-09 01:50:00+00:00,3105.66,3118.9229,100
2022-01-09 01:55:00+00:00,3111.65,3118.1272,100
2022-01-09 02:00:00+00:00,3116.13,3117.1506,100
2022-01-09 02:05:00+00:00,3117.73,3116.3113,-100
2022-01-09 02:10:00+00:00,3120.12,3115.795,-100
2022-01-09 02:15:00+00:00,3122.83,3115.7197,-100
2022-01-09 02:20:00+00:00,3128.34,3116.1404,-100
2022-01-09 02:25:00+00:00,3131.47,3117.1272,-100
2022-01-09 02:30:00+00:00,3128.84,3118.675,-100
2022-01-09 02:35:00+00:00,3129.26,3120.606,-100
2022-01-09 02:40:00+00:00,3130.53,3122.7336,-100
2022-01-09 02:45:00+00:00,3140.35,3124.9067,-100
2022-01-09 02:50:00+00:00,3138.15,3127.2205,-100
2022-01-09 02:55:00+00:00,3140.29,3129.599,-100
2022-01-09 03:00:00+00:00,3136.86,3131.987,-100
2022-01-09 03:05:00+00:00,3134.57,3134.218,100
2022-01-09 03:10:00+00:00,3132.5,3136.121,100
2022-01-09 03:15:00+00:00,3133.95,3137.5657,100
2022-01-09 03:20:00+00:00,3134.42,3138.553,100
2022-01-09 03:25:00+00:00,3137.94,3139.137,100
2022-01-09 03:30:00+00:00,3137.93,3139.473,100
2022-01-09 03:35:00+00:00,3138.21,3139.6658,100
2022-01-09 03:40:00+00:00,3133.14,3139.801,100
2022-01-09 03:45:00+00:00,3131.43,3139.8013,100
2022-01-09 03:50:00+00:00,3127.98,3139.61,100
2022-01-09 03:55:00+00:00,3125.47,3139.1477,100
2022-01-09 04:00:00+00:00,3128.68,3138.3667,100
2022-01-09 04:05:00+00:00,3124.32,3137.3828,100
2022-01-09 04:10:00+00:00,3128.2,3136.2092,100
2022-01-09 04:15:00+00:00,3129.13,3134.997,100
2022-01-09 04:20:00+00:00,3131.04,3133.8828,100
2022-01-09 04:25:00+00:00,3135.22,3132.9917,-100
2022-01-09 04:30:00+00:00,3133.43,3132.4749,-100
2022-01-09 04:35:00+00:00,3135.24,3132.3218,-100
2022-01-09 04:40:00+00:00,3136.6,3132.5203,-100
2022-01-09 04:45:00+00:00,3136.14,3133.038,-100
2022-01-09 04:50:00+00:00,3139.01,3133.7852,-100
2022-01-09 04:55:00+00:00,3137.28,3134.7366,0
