Datetime,Datetime,Open,High,Low,Close,Adj Close,Volume,Two_Crows,Three_Black_Crows,Three_Inside_Updown,Three_Line_Strike,Three_Outside_UpDown,Three_Stars_In_The_South,Three_Advancing_White_Soldiers,Abandoned_Baby,Advance_Block,Belthold,Breakaway,Closing_Marubozu,Concealing_Baby_Swallow,Counterattack,Dark_Cloud_Cover,Doji,Doji_Star,Dragonfly_Doji,Engulfing_Pattern,Evening_Doji_Star,Evening_Star,UpDown_gap_sidebyside_white_lines,Gravestone_Doji,Hammer,Hanging_Man,Harami_Pattern,Harami_Cross_Pattern,HighWave_Candle,Hikkake_Pattern,Modified_Hikkake_Pattern,Homing_Pigeon,Identical_Three_Crows,In_Neck_Pattern,Inverted_Hammer,Kicking,Kicking_bullbear_determined_by_the_longer_marubozu,Ladder_Bottom,Long_Legged_Doji,Long_Line_Candle,Marubozu,Matching_Low,Mat_Hold,Morning_Doji_Star,Morning_Star,OnNeck_Pattern,Piercing_Pattern,Rickshaw_Man,RisingFalling_Three_Methods,Separating_Lines,Shooting_Star,Short_Line_Candle,Spinning_Top,Stalled_Pattern,Stick_Sandwich,Takuri_Dragonfly_Doji,Tasuki_Gap,Thrusting_Pattern,Tristar_Pattern,Unique_River,Upside_Gap_Two_Crows,UpsideDownside_Gap_Three_Methods,Candle_Sum,signal,Shares_Purchaced,Tranaction,ActiveCash,Shares_Owned,Portfolio,transaction,TranactionC
2022-01-07 09:30:00-05:00,2022-01-07 09:30:00-05:00,314.15,315.0,313.55,314.52,314.52,1266090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2022-01-07 09:31:00-05:00,2022-01-07 09:31:00-05:00,314.51,315.32,314.33,315.24,315.24,177362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,0.0
2022-01-07 09:32:00-05:00,2022-01-07 09:32:00-05:00,315.24,315.28,314.06,314.66,314.66,113985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,300000.0,0.0,0.0,0.0,0.0
2022-01-07 09:33:00-05:00,2022-01-07 09:33:00-05:00,313.5,313.68,313.27,313.56,313.56,112925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,400000.0,0.0,0.0,0.0,0.0
2022-01-07 09:34:00-05:00,2022-01-07 09:34:00-05:00,313.54,314.14,313.26,313.47,313.47,78540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,500000.0,0.0,0.0,0.0,0.0
2022-01-07 09:35:00-05:00,2022-01-07 09:35:00-05:00,313.5,313.82,313.0,313.2,313.2,130715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0
2022-01-07 09:36:00-05:00,2022-01-07 09:36:00-05:00,312.5,312.63,312.49,312.63,312.63,117925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,700000.0,0.0,0.0,0.0,0.0
2022-01-07 09:37:00-05:00,2022-01-07 09:37:00-05:00,312.55,312.8,312.51,312.62,312.62,117303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,800000.0,0.0,0.0,0.0,0.0
2022-01-07 09:38:00-05:00,2022-01-07 09:38:00-05:00,312.62,313.12,312.62,312.75,312.75,100594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,900000.0,0.0,0.0,0.0,0.0
2022-01-07 09:39:00-05:00,2022-01-07 09:39:00-05:00,312.75,313.5,312.75,313.13,313.13,83422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0
2022-01-07 09:40:00-05:00,2022-01-07 09:40:00-05:00,313.61,313.73,313.49,313.73,313.73,107000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,1.0,1.0,313.73,1099686.27,1.0,313.73,313.73,313.73
2022-01-07 09:41:00-05:00,2022-01-07 09:41:00-05:00,314.25,314.29,314.23,314.29,314.29,124480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,200,1.0,1.0,314.29,1199371.98,2.0,628.58,314.29,314.29
2022-01-07 09:42:00-05:00,2022-01-07 09:42:00-05:00,314.25,314.47,314.09,314.3,314.3,115426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,100,100,0,0,0,0,0,0,0,0,0,700,1.0,1.0,314.3,1299057.68,3.0,942.9000000000001,314.3,314.3
2022-01-07 09:43:00-05:00,2022-01-07 09:43:00-05:00,314.5,315.52,314.5,315.31,315.31,265003,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.0,1.0,315.31,1398742.3699999999,4.0,1261.24,315.31,315.31
2022-01-07 09:44:00-05:00,2022-01-07 09:44:00-05:00,315.18,315.2,314.9,314.9,314.9,152799,0,0,0,0,0,0,0,0,0,-100,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-400,-1.0,-1.0,-314.9,1499057.2699999998,3.0,944.6999999999999,-314.9,-314.9
2022-01-07 09:45:00-05:00,2022-01-07 09:45:00-05:00,315.25,315.31,315.17,315.3,315.3,128082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,-100,-1.0,-1.0,-315.3,1599372.5699999998,2.0,630.6,-315.3,-315.3
2022-01-07 09:46:00-05:00,2022-01-07 09:46:00-05:00,315.72,315.73,315.5,315.66,315.66,110990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-1.0,-1.0,-315.66,1699688.2299999997,1.0,315.66,-315.66,-315.66
2022-01-07 09:47:00-05:00,2022-01-07 09:47:00-05:00,315.0,315.25,314.92,315.25,315.25,125677,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,1.0,1.0,315.25,1799372.9799999997,2.0,630.5,315.25,315.25
2022-01-07 09:48:00-05:00,2022-01-07 09:48:00-05:00,314.93,315.16,314.88,315.1,315.1,75317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,1.0,1.0,315.1,1899057.8799999997,3.0,945.3000000000001,315.1,315.1
2022-01-07 09:49:00-05:00,2022-01-07 09:49:00-05:00,315.04,315.15,314.66,314.67,314.67,107205,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-1.0,-1.0,-314.67,1999372.5499999996,2.0,629.34,-314.67,-314.67
2022-01-07 09:50:00-05:00,2022-01-07 09:50:00-05:00,314.62,314.96,314.62,314.86,314.86,95751,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,1.0,1.0,314.86,2099057.6899999995,3.0,944.58,314.86,314.86
2022-01-07 09:51:00-05:00,2022-01-07 09:51:00-05:00,315.0,315.07,314.62,314.9,314.9,74537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2199057.6899999995,3.0,944.6999999999999,0.0,0.0
2022-01-07 09:52:00-05:00,2022-01-07 09:52:00-05:00,314.88,315.45,314.83,315.45,315.45,92738,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,1.0,1.0,315.45,2298742.2399999993,4.0,1261.8,315.45,315.45
2022-01-07 09:53:00-05:00,2022-01-07 09:53:00-05:00,315.34,315.39,315.08,315.21,315.21,120960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-1.0,-1.0,-315.21,2399057.4499999993,3.0,945.6299999999999,-315.21,-315.21
2022-01-07 09:54:00-05:00,2022-01-07 09:54:00-05:00,315.5,315.5,315.32,315.38,315.38,75029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,-200,-1.0,-1.0,-315.38,2499372.829999999,2.0,630.76,-315.38,-315.38
2022-01-07 09:55:00-05:00,2022-01-07 09:55:00-05:00,315.5,316.07,315.48,316.07,316.07,136631,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,500,1.0,1.0,316.07,2599056.7599999993,3.0,948.21,316.07,316.07
2022-01-07 09:56:00-05:00,2022-01-07 09:56:00-05:00,315.75,315.94,315.69,315.94,315.94,150927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2699056.7599999993,3.0,947.8199999999999,0.0,0.0
2022-01-07 09:57:00-05:00,2022-01-07 09:57:00-05:00,316.25,316.36,316.09,316.25,316.25,116983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,-100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,400,1.0,1.0,316.25,2798740.5099999993,4.0,1265.0,316.25,316.25
2022-01-07 09:58:00-05:00,2022-01-07 09:58:00-05:00,316.45,316.5,316.1,316.45,316.45,81545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,400,1.0,1.0,316.45,2898424.059999999,5.0,1582.25,316.45,316.45
